통계청행정동코드,행자부행정동코드,시군구명,행정동명,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,2021혼인,어린이보호구역현황,2021_한부모_가구수,2021_저소득_가구수,2021_예산현액,2021_세입,2021_세출,총_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,어린이집_수,2020GDP1인당,공동육아나눔터유무,유아인구,인구대비아동,20-40직장인구,20-40직장인구비,인구대비예산,20-40생활인구,한부모저소득평균
1101053,11110530,종로구,사직동,23050.52541,376.4614057,167.3161836,1036.33123,1290.318078,1199.036465,1341.700725,413.4345087,221.4823778,1289.548565,1222.91341,1368.620025,1092.166488,42.0,3.0,96,214,662770,695108,540729,10012.71069,1445.641509,3188.132075,2985.075472,9,223603,0,1178.6944758,0.051135254179006585,7618.849056000001,0.7609177266660844,28.752923771207,9840.634986000001,155.0
1101054,11110540,종로구,삼청동,5056.038923,62.54221688,47.92213335,185.886491,225.4468848,233.8449388,236.7658758,88.23296751,54.20015051,208.0882681,198.5183835,266.1139772,212.6545376,11.0,0.0,96,214,662770,695108,540729,837.9274194,115.2258065,236.2177419,243.8951613,3,223603,0,252.89746825000003,0.050018892674968445,595.3387097,0.7104895912420359,131.08482946700607,1767.3193568000002,155.0
1101055,11110550,종로구,부암동,15235.97243,428.7353977,332.4354853,363.4604929,487.4249509,513.13853,584.2850745,436.1831097,310.6628797,429.9584397,384.7961498,606.0405255,592.2557352,35.0,5.0,96,214,662770,695108,540729,733.2903226,141.6129032,230.2580645,198.6774194,3,223603,0,1508.0168724,0.0989773957211079,570.5483871,0.7780661622221169,43.500341251273845,3961.3598985,155.0
1101056,11110560,종로구,평창동,18042.28485,583.8210389,422.2967521,376.8743081,519.5547572,553.4893551,734.9320776,606.9226775,354.606187,443.1847768,456.1921155,671.9088067,658.3828072,46.0,1.0,96,214,662770,695108,540729,2227.870968,205.2903226,644.6129032,847.8064516,3,223603,0,1967.6466554999997,0.10905750972554897,1697.7096774,0.7620323177531526,36.734260960301825,4414.5190041999995,155.0
1101057,11110570,종로구,무악동,6575.94943,231.9066539,148.3120468,145.1215364,200.7803999,195.8784788,222.6673299,271.9364915,171.8973746,174.0674805,180.2468112,258.6281493,230.8115782,17.0,1.0,96,214,662770,695108,540729,548.537174,76.8549625,157.6874642,146.4563211,4,223603,0,824.0525668,0.1253130936561962,380.9987478,0.6945723386834671,100.7869672744731,1608.2017642,155.0
1101058,11110580,종로구,교남동,7213.880331,385.0384625,153.1692799,195.7458257,279.0578228,295.390863,348.5104512,246.2895221,117.8390594,260.4431674,236.311183,331.6628637,304.0152375,35.0,1.0,96,214,662770,695108,540729,413.016129,106.0806452,128.3225806,93.59677419,7,223603,0,902.3363238999999,0.1250833507761996,327.99999999000005,0.7941578475013988,91.87427148630364,2251.1374143000003,155.0
1101060,11110600,종로구,가회동,7084.226273,139.274039,98.3108543,295.8742238,385.024748,367.2062032,397.0660676,179.8742726,102.3897811,291.7679038,275.3187223,325.9418871,296.8978372,9.0,2.0,96,214,662770,695108,540729,3910.462366,474.9462366,1424.505376,1171.053763,4,223603,0,519.848947,0.07338118899184404,3070.5053755999998,0.7852026405616096,93.55573558202182,2635.097593,155.0
1101061,11110615,종로구,종로1.2.3.4가동,58325.26319,630.0829553,198.51948,3024.408686,3510.646869,3321.885021,3776.675228,451.3948351,221.3566117,3210.758153,2682.69228,2544.0058,2208.177116,28.0,3.0,96,214,662770,695108,540729,8776.786458,1516.315104,2746.708333,2404.023438,10,223603,0,1501.3538821000002,0.025741056276234874,6667.046875,0.7596227738824632,11.363343493898428,24279.249152999997,155.0
1101063,11110630,종로구,종로5.6가동,16665.25849,97.48115146,74.20181844,692.137804,805.8817503,778.7557097,889.9076767,77.71270348,81.24524643,781.9578197,618.0778426,584.5495033,500.4568683,16.0,3.0,96,214,662770,695108,540729,2717.052419,508.5443548,866.6532258,700.2177419,3,223603,0,330.64091981,0.019840131493213942,2075.4153225,0.7638480980296464,39.769560153999144,5651.7249746,155.0
1101064,11110640,종로구,이화동,23410.26819,309.4230232,170.9519489,1017.416121,1084.151379,916.8196468,1021.187469,286.7669172,196.6824321,1628.180892,1331.746042,1261.711245,979.7782511,35.0,2.0,96,214,662770,695108,540729,1341.645161,248.9516129,383.2096774,328.6451613,1,223603,0,963.8243214,0.041171007251070715,960.8064516,0.7161405113136319,28.31108104447564,9240.9910459,155.0
